movie_id,movie_title,movie_description,price,image,category
"home1","Venom: Tempo de Carnificina","Eddie Brock e Venom enfrentam Carnificina, simbionte ainda mais violento. A cidade torna-se palco de caos enquanto eles lutam pelo controle do corpo. No limiar entre herói e monstro, Brock precisa decidir até onde vai para salvar inocentes.","7.9","/src/imgs/home1.jpg","cinemas"
"home2","Vingadores: Guerra Infinita","Thanos invade o universo em busca das Joias do Infinito. Os Vingadores, divididos, unem forças em batalhas épicas na Terra e no espaço. Sacrifícios dolorosos definem o destino de cada herói e do próprio cosmos.","9.9","/src/imgs/home2.jpg","cinemas"
"home3","Homem-Aranha: Longe de Casa","Peter Parker tenta relaxar em férias pela Europa após grandes perdas. Surgem criaturas Elementais e o misterioso Mysterio, que promete ajudar. Entre cenários exóticos e desafios, Peter descobre o peso de ser herói adolescente.","8.5","/src/imgs/home3.jpg","cinemas"
"new1","Oppenheimer","J. Robert Oppenheimer lidera o Projeto Manhattan para criar a bomba atômica. Seu gênio científico se choca com dilemas morais sobre as consequências. Testes secretos e debates éticos definem o fim de uma era e o começo de outra.","10.9","/src/imgs/new1.jpg","lancamentos"
"new2","Warcraft: O Primeiro Encontro de Dois Mundos","Um portal conecta Draenor e Azeroth, unindo orcs e humanos em conflito. Medos ancestrais e ambições perigosas ameaçam a paz de ambos os mundos. Heróis improváveis surgem em batalhas mágicas por reputação e sobrevivência.","8.9","/src/imgs/new2.jpg","lancamentos"
"new3","Rampage: Destruição Total","Experimentos genéticos transformam animais em monstros gigantes. O primatologista Davis Okoye corre contra o tempo para salvar seu amigo gorila. Cidades são devastadas enquanto ele busca deter a ameaça colossal.","7.9","/src/imgs/new3.jpg","lancamentos"
"new4","A Dama de Ferro","Margaret Thatcher se torna primeira ministra num mundo dominado por homens. Entre flashbacks, o filme retrata seus triunfos e os custos pessoais do poder. Decisões polêmicas e sacrifícios moldam seu legado controverso.","6.9","/src/imgs/new4.jpg","lancamentos"
"new6","Doutor Estranho","Stephen Strange, neurocirurgião, busca cura após acidente devastador. Nas artes místicas do Kama Taj, aprende a manipular realidades. Entre feitiços e multiversos, redefine o conceito de heroísmo.","9.9","/src/imgs/new6.jpeg","lancamentos"
"new7","Capitã Marvel","Carol Danvers descobre ser híbrida Kre humana com poderes extraordinários. Envolvida na guerra Skrull–Kree, busca recuperar suas memórias. Com coragem e força, protege dois mundos e inspira novos heróis.","8.9","/src/imgs/new7.jpg","lancamentos"
"new8","Viúva Negra","Natasha Romanoff revisita sua origem na Red Room para encerrar velhas pendências. Conspirações russas revelam laços de família e traições perigosas. Entre lutas intensas, ela luta por redenção e por liberdade.","9.5","/src/imgs/new8.jpg","lancamentos"
